Intensity Sum,Unit,Category,Channel,Image,Time,TrackID,ID
18866,,Spot,1,Image 1,125,1000000000,226
22365,,Spot,1,Image 1,125,1000000003,227
22993,,Spot,1,Image 1,125,1000000002,228
28014,,Spot,1,Image 1,126,1000000001,229
23790,,Spot,1,Image 1,126,1000000003,230
21163,,Spot,1,Image 1,126,1000000000,231
19539,,Spot,1,Image 1,126,1000000002,232
23969,,Spot,1,Image 1,127,1000000001,233
23293,,Spot,1,Image 1,127,1000000003,234
17871,,Spot,1,Image 1,127,1000000000,235
19928,,Spot,1,Image 1,127,1000000002,236
24400,,Spot,1,Image 1,128,1000000001,237
18951,,Spot,1,Image 1,128,1000000003,238
19377,,Spot,1,Image 1,128,1000000000,239
19279,,Spot,1,Image 1,128,1000000002,240
16695,,Spot,1,Image 1,129,1000000001,241
20726,,Spot,1,Image 1,129,1000000003,242
18210,,Spot,1,Image 1,129,1000000002,243
19224,,Spot,1,Image 1,129,1000000000,244
20919,,Spot,1,Image 1,130,1000000001,245
18721,,Spot,1,Image 1,130,1000000003,246
21292,,Spot,1,Image 1,130,1000000002,247
20362,,Spot,1,Image 1,130,1000000000,248
16893,,Spot,1,Image 1,131,1000000001,249
20521,,Spot,1,Image 1,131,1000000003,250
20256,,Spot,1,Image 1,131,1000000002,251
17035,,Spot,1,Image 1,131,1000000000,252
23966,,Spot,1,Image 1,132,1000000001,253
18989,,Spot,1,Image 1,132,1000000003,254
24695,,Spot,1,Image 1,132,1000000002,255
16658,,Spot,1,Image 1,132,1000000000,256
14824,,Spot,1,Image 1,133,1000000001,257
24684,,Spot,1,Image 1,133,1000000003,258
19542,,Spot,1,Image 1,133,1000000002,259
19719,,Spot,1,Image 1,134,1000000001,260
16265,,Spot,1,Image 1,134,1000000003,261
20981,,Spot,1,Image 1,134,1000000002,262
13549,,Spot,1,Image 1,134,1000000000,263
14204,,Spot,1,Image 1,135,1000000003,264
22516,,Spot,1,Image 1,135,1000000001,265
21813,,Spot,1,Image 1,135,1000000002,266
9175,,Spot,1,Image 1,135,1000000000,267
18458,,Spot,1,Image 1,136,1000000001,268
16209,,Spot,1,Image 1,136,1000000003,269
24109,,Spot,1,Image 1,136,1000000002,270
11162,,Spot,1,Image 1,136,1000000000,271
18623,,Spot,1,Image 1,137,1000000003,272
24848,,Spot,1,Image 1,137,1000000001,273
20748,,Spot,1,Image 1,137,1000000002,274
10484,,Spot,1,Image 1,137,1000000000,275
14093,,Spot,1,Image 1,138,1000000003,276
18313,,Spot,1,Image 1,138,1000000001,277
15563,,Spot,1,Image 1,138,1000000002,278
11399,,Spot,1,Image 1,138,1000000000,279
24782,,Spot,1,Image 1,139,1000000001,280
17036,,Spot,1,Image 1,139,1000000003,281
14709,,Spot,1,Image 1,139,1000000002,282
15996,,Spot,1,Image 1,140,1000000003,283
25190,,Spot,1,Image 1,140,1000000001,284
16005,,Spot,1,Image 1,140,1000000002,285
21448,,Spot,1,Image 1,141,1000000001,286
20026,,Spot,1,Image 1,141,1000000003,287
13482,,Spot,1,Image 1,141,1000000002,288
23042,,Spot,1,Image 1,142,1000000001,289
15214,,Spot,1,Image 1,142,1000000003,290
15730,,Spot,1,Image 1,142,1000000002,291
19947,,Spot,1,Image 1,143,1000000001,292
10442,,Spot,1,Image 1,143,1000000002,293
13928,,Spot,1,Image 1,144,1000000003,294
25749,,Spot,1,Image 1,144,1000000001,295
12701,,Spot,1,Image 1,144,1000000002,296
17426,,Spot,1,Image 1,145,1000000001,297
16919,,Spot,1,Image 1,145,1000000003,298
15958,,Spot,1,Image 1,145,1000000002,299
19476,,Spot,1,Image 1,146,1000000001,300
15294,,Spot,1,Image 1,146,1000000003,301
16835,,Spot,1,Image 1,146,1000000002,302
14641,,Spot,1,Image 1,147,1000000003,303
22244,,Spot,1,Image 1,147,1000000001,304
13038,,Spot,1,Image 1,147,1000000002,305
12906,,Spot,1,Image 1,148,1000000003,306
22369,,Spot,1,Image 1,148,1000000001,307
18733,,Spot,1,Image 1,148,1000000002,308
10667,,Spot,1,Image 1,149,1000000003,309
17808,,Spot,1,Image 1,149,1000000001,310
22024,,Spot,1,Image 1,149,1000000002,311
14927,,Spot,1,Image 1,150,1000000001,312
19341,,Spot,1,Image 1,150,1000000003,313
21673,,Spot,1,Image 1,150,1000000002,314
19928,,Spot,1,Image 1,151,1000000001,315
19249,,Spot,1,Image 1,151,1000000003,316
12713,,Spot,1,Image 1,151,1000000002,317
18077,,Spot,1,Image 1,152,1000000001,318
12771,,Spot,1,Image 1,152,1000000002,319
18932,,Spot,1,Image 1,153,1000000001,320
17460,,Spot,1,Image 1,153,1000000003,321
15635,,Spot,1,Image 1,153,1000000002,322
17071,,Spot,1,Image 1,154,1000000001,323
16403,,Spot,1,Image 1,154,1000000003,324
18065,,Spot,1,Image 1,154,1000000002,325
13704,,Spot,1,Image 1,155,1000000003,326
18977,,Spot,1,Image 1,155,1000000001,327
18195,,Spot,1,Image 1,155,1000000002,328
11693,,Spot,1,Image 1,156,1000000003,329
14620,,Spot,1,Image 1,156,1000000001,330
21357,,Spot,1,Image 1,156,1000000002,331
12268,,Spot,1,Image 1,157,1000000003,332
19623,,Spot,1,Image 1,157,1000000001,333
20697,,Spot,1,Image 1,157,1000000002,334
14928,,Spot,1,Image 1,158,1000000003,335
17574,,Spot,1,Image 1,158,1000000001,336
22367,,Spot,1,Image 1,158,1000000002,337
12583,,Spot,1,Image 1,159,1000000003,338
18924,,Spot,1,Image 1,159,1000000001,339
22543,,Spot,1,Image 1,159,1000000002,340
18771,,Spot,1,Image 1,160,1000000001,341
16321,,Spot,1,Image 1,160,1000000003,342
16774,,Spot,1,Image 1,160,1000000002,343
20883,,Spot,1,Image 1,161,1000000001,344
19054,,Spot,1,Image 1,161,1000000003,345
17260,,Spot,1,Image 1,161,1000000002,346
19361,,Spot,1,Image 1,162,1000000001,347
21780,,Spot,1,Image 1,162,1000000003,348
22210,,Spot,1,Image 1,162,1000000002,349
19710,,Spot,1,Image 1,163,1000000001,350
19371,,Spot,1,Image 1,163,1000000003,351
16799,,Spot,1,Image 1,163,1000000002,352
27461,,Spot,1,Image 1,164,1000000001,353
15201,,Spot,1,Image 1,164,1000000003,354
15299,,Spot,1,Image 1,164,1000000002,355
26994,,Spot,1,Image 1,165,1000000001,356
17281,,Spot,1,Image 1,165,1000000003,357
12153,,Spot,1,Image 1,165,1000000002,358
22378,,Spot,1,Image 1,166,1000000001,359
15383,,Spot,1,Image 1,166,1000000003,360
12000,,Spot,1,Image 1,166,1000000002,361
18126,,Spot,1,Image 1,167,1000000001,362
16809,,Spot,1,Image 1,167,1000000003,363
11515,,Spot,1,Image 1,167,1000000002,364
20370,,Spot,1,Image 1,168,1000000001,365
15328,,Spot,1,Image 1,168,1000000003,366
11550,,Spot,1,Image 1,168,1000000002,367
19164,,Spot,1,Image 1,169,1000000003,368
23363,,Spot,1,Image 1,169,1000000001,369
18474,,Spot,1,Image 1,169,1000000002,370
23792,,Spot,1,Image 1,170,1000000001,371
20160,,Spot,1,Image 1,170,1000000003,372
15596,,Spot,1,Image 1,170,1000000002,373
14543,,Spot,1,Image 1,171,1000000003,374
20527,,Spot,1,Image 1,171,1000000001,375
19327,,Spot,1,Image 1,171,1000000002,376
15549,,Spot,1,Image 1,172,1000000003,377
20728,,Spot,1,Image 1,172,1000000001,378
18296,,Spot,1,Image 1,172,1000000002,379
18234,,Spot,1,Image 1,173,1000000001,380
20351,,Spot,1,Image 1,173,1000000003,381
11561,,Spot,1,Image 1,173,1000000002,382
17858,,Spot,1,Image 1,174,1000000001,383
17965,,Spot,1,Image 1,174,1000000003,384
19501,,Spot,1,Image 1,174,1000000002,385
13527,,Spot,1,Image 1,175,1000000001,386
19560,,Spot,1,Image 1,175,1000000003,387
14203,,Spot,1,Image 1,175,1000000002,388
24996,,Spot,1,Image 1,176,1000000001,389
16816,,Spot,1,Image 1,176,1000000003,390
11985,,Spot,1,Image 1,177,1000000001,391
21000,,Spot,1,Image 1,177,1000000003,392
14969,,Spot,1,Image 1,177,1000000002,393
15697,,Spot,1,Image 1,178,1000000001,394
19764,,Spot,1,Image 1,178,1000000003,395
16153,,Spot,1,Image 1,178,1000000002,396
16192,,Spot,1,Image 1,179,1000000001,397
17278,,Spot,1,Image 1,179,1000000003,398
15425,,Spot,1,Image 1,179,1000000002,399
18370,,Spot,1,Image 1,180,1000000001,400
21158,,Spot,1,Image 1,180,1000000003,401
17753,,Spot,1,Image 1,180,1000000002,402
22371,,Spot,1,Image 1,181,1000000001,403
18155,,Spot,1,Image 1,181,1000000003,404
13367,,Spot,1,Image 1,181,1000000002,405
19856,,Spot,1,Image 1,182,1000000003,406
22999,,Spot,1,Image 1,182,1000000001,407
11865,,Spot,1,Image 1,182,1000000002,408
21045,,Spot,1,Image 1,183,1000000001,409
17694,,Spot,1,Image 1,183,1000000003,410
14121,,Spot,1,Image 1,183,1000000002,411
19118,,Spot,1,Image 1,184,1000000001,412
19170,,Spot,1,Image 1,184,1000000003,413
12787,,Spot,1,Image 1,184,1000000002,414
19305,,Spot,1,Image 1,185,1000000001,415
18405,,Spot,1,Image 1,185,1000000003,416
21015,,Spot,1,Image 1,185,1000000002,417
19510,,Spot,1,Image 1,186,1000000001,418
16232,,Spot,1,Image 1,186,1000000003,419
19514,,Spot,1,Image 1,186,1000000002,420
13279,,Spot,1,Image 1,187,1000000003,421
25063,,Spot,1,Image 1,187,1000000001,422
21229,,Spot,1,Image 1,187,1000000002,423
14764,,Spot,1,Image 1,188,1000000003,424
26521,,Spot,1,Image 1,188,1000000001,425
24571,,Spot,1,Image 1,188,1000000002,426
16510,,Spot,1,Image 1,189,1000000003,427
16212,,Spot,1,Image 1,189,1000000001,428
21890,,Spot,1,Image 1,189,1000000002,429
16647,,Spot,1,Image 1,190,1000000003,430
25867,,Spot,1,Image 1,190,1000000001,431
25747,,Spot,1,Image 1,190,1000000002,432
13173,,Spot,1,Image 1,191,1000000003,433
30406,,Spot,1,Image 1,191,1000000001,434
21685,,Spot,1,Image 1,191,1000000002,435
15057,,Spot,1,Image 1,192,1000000003,436
20855,,Spot,1,Image 1,192,1000000001,437
24084,,Spot,1,Image 1,192,1000000002,438
